sample_size,population_full,methodology,candidate_name,candidate_party,pct
321,rv,Live Phone/Online,Donald Trump,REP,44.0
4429,a,Online,Joseph R. Biden Jr.,DEM,41.0
4429,a,Online,Donald Trump,REP,37.0
3732,rv,Online,Joseph R. Biden Jr.,DEM,45.0
3732,rv,Online,Donald Trump,REP,39.0
1001,lv,Online/Text,Joseph R. Biden Jr.,DEM,53.0
1001,lv,Online/Text,Donald Trump,REP,40.0
1001,lv,Online/Text,Andrew Cuomo,DEM,52.0
1001,lv,Online/Text,Donald Trump,REP,37.0
1001,lv,Online/Text,Hillary Rodham Clinton,DEM,46.0
1001,lv,Online/Text,Donald Trump,REP,43.0
778,a,Online,Joseph R. Biden Jr.,DEM,51.13
778,a,Online,Donald Trump,REP,43.28
686,rv,Online,Joseph R. Biden Jr.,DEM,49.81
686,rv,Online,Donald Trump,REP,45.67
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
1157,rv,Online,Joseph R. Biden Jr.,DEM,45.0
1157,rv,Online,Donald Trump,REP,42.0
591,rv,Online,Joseph R. Biden Jr.,DEM,42.0
591,rv,Online,Donald Trump,REP,52.0
913,a,Online,Joseph R. Biden Jr.,DEM,41.4
913,a,Online,Donald Trump,REP,36.9
793,lv,Online,Joseph R. Biden Jr.,DEM,51.8
793,lv,Online,Donald Trump,REP,44.1
1048,lv,Live Phone,Joseph R. Biden Jr.,DEM,57.0
1048,lv,Live Phone,Donald Trump,REP,33.0
784,lv,Online,Joseph R. Biden Jr.,DEM,45.0
784,lv,Online,Donald Trump,REP,47.0
572,lv,Online,Joseph R. Biden Jr.,DEM,50.0
572,lv,Online,Donald Trump,REP,42.0
3593,lv,Online,Joseph R. Biden Jr.,DEM,47.0
3593,lv,Online,Donald Trump,REP,48.0
1396,lv,Online,Joseph R. Biden Jr.,DEM,47.0
1396,lv,Online,Donald Trump,REP,49.0
1325,lv,Online,Joseph R. Biden Jr.,DEM,50.0
1325,lv,Online,Donald Trump,REP,42.0
647,lv,Online,Joseph R. Biden Jr.,DEM,49.0
647,lv,Online,Donald Trump,REP,42.0
1403,lv,Online,Joseph R. Biden Jr.,DEM,46.0
1403,lv,Online,Donald Trump,REP,49.0
1720,lv,Online,Joseph R. Biden Jr.,DEM,42.0
1720,lv,Online,Donald Trump,REP,50.0
2120,lv,Online,Joseph R. Biden Jr.,DEM,48.0
2120,lv,Online,Donald Trump,REP,44.0
2551,lv,Online,Joseph R. Biden Jr.,DEM,43.0
2551,lv,Online,Donald Trump,REP,50.0
1148,lv,Online,Joseph R. Biden Jr.,DEM,52.0
1148,lv,Online,Donald Trump,REP,42.0
740,lv,Online,Joseph R. Biden Jr.,DEM,49.0
740,lv,Online,Donald Trump,REP,44.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,45.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,44.0
500,rv,Online,Joseph R. Biden Jr.,DEM,36.0
500,rv,Online,Donald Trump,REP,53.0
808,rv,Online,Joseph R. Biden Jr.,DEM,52.0
808,rv,Online,Donald Trump,REP,32.0
30317,rv,Online,Joseph R. Biden Jr.,DEM,46.0
30317,rv,Online,Donald Trump,REP,41.0
894,lv,Online,Joseph R. Biden Jr.,DEM,39.0
894,lv,Online,Donald Trump,REP,49.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,44.0
810,lv,Live Phone,Joseph R. Biden Jr.,DEM,59.1
810,lv,Live Phone,Donald Trump,REP,35.3
891,a,Online,Joseph R. Biden Jr.,DEM,41.3
891,a,Online,Donald Trump,REP,35.4
766,lv,Online,Joseph R. Biden Jr.,DEM,53.9
766,lv,Online,Donald Trump,REP,42.7
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,43.0
400,lv,Live Phone,Joseph R. Biden Jr.,DEM,47.0
400,lv,Live Phone,Donald Trump,REP,45.3
1000,rv,Live Phone,Joseph R. Biden Jr.,DEM,42.0
1000,rv,Live Phone,Donald Trump,REP,51.0
1218,rv,Online,Joseph R. Biden Jr.,DEM,46.0
1218,rv,Online,Donald Trump,REP,42.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
796,rv,Live Phone/Online,Joseph R. Biden Jr.,DEM,57.0
796,rv,Live Phone/Online,Donald Trump,REP,32.0
391,lv,Live Phone,Joseph R. Biden Jr.,DEM,42.0
391,lv,Live Phone,Donald Trump,REP,42.0
1070,lv,IVR/Text,Joseph R. Biden Jr.,DEM,59.0
1070,lv,IVR/Text,Donald Trump,REP,37.0
1000,lv,Online,Joseph R. Biden Jr.,DEM,51.0
1000,lv,Online,Donald Trump,REP,42.0
800,rv,Live Phone,Joseph R. Biden Jr.,DEM,49.0
800,rv,Live Phone,Donald Trump,REP,44.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,44.0
1207,rv,Live Phone,Joseph R. Biden Jr.,DEM,48.0
1207,rv,Live Phone,Donald Trump,REP,40.0
885,a,Online,Joseph R. Biden Jr.,DEM,51.42
885,a,Online,Donald Trump,REP,42.75
800,rv,Online,Joseph R. Biden Jr.,DEM,52.04
800,rv,Online,Donald Trump,REP,42.3
1223,rv,IVR/Text,Barack Obama,DEM,54.0
1223,rv,IVR/Text,Donald Trump,REP,43.0
1000,lv,IVR/Online,Joseph R. Biden Jr.,DEM,48.0
1000,lv,IVR/Online,Donald Trump,REP,43.0
1115,a,Online,Joseph R. Biden Jr.,DEM,43.0
1115,a,Online,Donald Trump,REP,35.0
957,rv,Online,Joseph R. Biden Jr.,DEM,47.0
957,rv,Online,Donald Trump,REP,38.0
537,lv,Online,Joseph R. Biden Jr.,DEM,58.0
537,lv,Online,Donald Trump,REP,30.0
1234,v,IVR/Text,Joseph R. Biden Jr.,DEM,51.0
1234,v,IVR/Text,Donald Trump,REP,45.0
1235,rv,Online,Joseph R. Biden Jr.,DEM,47.0
1235,rv,Online,Donald Trump,REP,42.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,44.0
530,lv,Online,Joseph R. Biden Jr.,DEM,57.0
530,lv,Online,Donald Trump,REP,31.0
899,a,Online,Joseph R. Biden Jr.,DEM,41.8
899,a,Online,Donald Trump,REP,32.7
774,lv,Online,Joseph R. Biden Jr.,DEM,51.5
774,lv,Online,Donald Trump,REP,41.5
1339,rv,Online,Joseph R. Biden Jr.,DEM,48.0
1339,rv,Online,Donald Trump,REP,47.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
1323,rv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
1323,rv,Live Phone,Donald Trump,REP,39.0
601,lv,Live Phone,Joseph R. Biden Jr.,DEM,39.0
601,lv,Live Phone,Donald Trump,REP,53.0
790,lv,Online,Joseph R. Biden Jr.,DEM,44.0
790,lv,Online,Donald Trump,REP,46.0
970,rv,Live Phone,Joseph R. Biden Jr.,DEM,43.0
970,rv,Live Phone,Donald Trump,REP,41.0
1424,lv,Online,Joseph R. Biden Jr.,DEM,48.0
1424,lv,Online,Donald Trump,REP,45.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
2149,lv,Online/Text,Joseph R. Biden Jr.,DEM,44.5
2149,lv,Online/Text,Donald Trump,REP,43.9
2149,lv,Online/Text,Joseph R. Biden Jr.,DEM,52.3
2149,lv,Online/Text,Donald Trump,REP,47.7
28159,rv,Online,Joseph R. Biden Jr.,DEM,46.0
28159,rv,Online,Donald Trump,REP,41.0
3070,lv,Online,Joseph R. Biden Jr.,DEM,48.95
3070,lv,Online,Donald Trump,REP,46.0
3070,lv,Online,Joseph R. Biden Jr.,DEM,46.67
3070,lv,Online,Donald Trump,REP,44.21
3070,lv,Online,Justin Amash,LIB,4.49
1200,rv,IVR/Online/Text,Joseph R. Biden Jr.,DEM,43.0
1200,rv,IVR/Online/Text,Donald Trump,REP,39.0
1200,rv,IVR/Online/Text,Justin Amash,LIB,3.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
914,a,Online,Joseph R. Biden Jr.,DEM,41.5
914,a,Online,Donald Trump,REP,34.1
780,lv,Online,Joseph R. Biden Jr.,DEM,51.6
780,lv,Online,Donald Trump,REP,41.4
563,lv,Live Phone,Joseph R. Biden Jr.,DEM,51.0
563,lv,Live Phone,Donald Trump,REP,39.0
1104,v,IVR/Text,Joseph R. Biden Jr.,DEM,39.0
1104,v,IVR/Text,Donald Trump,REP,55.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,43.0
1078,lv,Online,Joseph R. Biden Jr.,DEM,41.0
1078,lv,Online,Donald Trump,REP,44.0
1078,lv,Online,Joseph R. Biden Jr.,DEM,40.0
1078,lv,Online,Donald Trump,REP,46.0
1078,lv,Online,Joseph R. Biden Jr.,DEM,40.0
1078,lv,Online,Donald Trump,REP,46.0
1078,lv,Online,Joseph R. Biden Jr.,DEM,38.0
1078,lv,Online,Donald Trump,REP,48.0
1078,lv,Online,Joseph R. Biden Jr.,DEM,38.0
1078,lv,Online,Donald Trump,REP,48.0
20333,lv,Online,Joseph R. Biden Jr.,DEM,43.0
20333,lv,Online,Donald Trump,REP,39.0
1854,rv,Online,Joseph R. Biden Jr.,DEM,53.0
1854,rv,Online,Donald Trump,REP,47.0
1708,lv,Online,Joseph R. Biden Jr.,DEM,53.0
1708,lv,Online,Donald Trump,REP,47.0
950,rv,Online,Joseph R. Biden Jr.,DEM,42.0
950,rv,Online,Donald Trump,REP,41.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
946,lv,Online,Joseph R. Biden Jr.,DEM,45.0
946,lv,Online,Donald Trump,REP,41.0
859,lv,Online,Joseph R. Biden Jr.,DEM,45.0
859,lv,Online,Donald Trump,REP,43.0
1014,lv,Online,Joseph R. Biden Jr.,DEM,45.0
1014,lv,Online,Donald Trump,REP,43.0
963,lv,Online,Joseph R. Biden Jr.,DEM,48.0
963,lv,Online,Donald Trump,REP,39.0
970,lv,Online,Joseph R. Biden Jr.,DEM,47.0
970,lv,Online,Donald Trump,REP,39.0
875,lv,Online,Joseph R. Biden Jr.,DEM,48.0
875,lv,Online,Donald Trump,REP,38.0
700,lv,Live Phone,Joseph R. Biden Jr.,DEM,46.0
700,lv,Live Phone,Donald Trump,REP,48.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,44.0
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,46.0
600,lv,Live Phone,Donald Trump,REP,50.5
500,rv,Live Phone,Joseph R. Biden Jr.,DEM,46.6
500,rv,Live Phone,Donald Trump,REP,46.8
764,a,Online,Joseph R. Biden Jr.,DEM,51.35
764,a,Online,Donald Trump,REP,43.78
666,rv,Online,Joseph R. Biden Jr.,DEM,50.12
666,rv,Online,Donald Trump,REP,43.3
973,rv,Online,Joseph R. Biden Jr.,DEM,46.0
973,rv,Online,Donald Trump,REP,38.0
1112,a,Online,Joseph R. Biden Jr.,DEM,41.0
1112,a,Online,Donald Trump,REP,36.0
1175,rv,Online,Joseph R. Biden Jr.,DEM,47.0
1175,rv,Online,Donald Trump,REP,43.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,45.0
928,rv,IVR/Online,Joseph R. Biden Jr.,DEM,52.7
928,rv,IVR/Online,Donald Trump,REP,47.3
860,a,Online,Joseph R. Biden Jr.,DEM,42.1
860,a,Online,Donald Trump,REP,36.4
728,lv,Online,Joseph R. Biden Jr.,DEM,52.0
728,lv,Online,Donald Trump,REP,43.3
600,lv,IVR/Live Phone,Joseph R. Biden Jr.,DEM,50.46
600,lv,IVR/Live Phone,Donald Trump,REP,42.56
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,45.0
800,rv,Online/Text,Joseph R. Biden Jr.,DEM,53.0
800,rv,Online/Text,Donald Trump,REP,40.0
800,rv,IVR/Online,Joseph R. Biden Jr.,DEM,48.31
800,rv,IVR/Online,Donald Trump,REP,51.69
725,rv,IVR/Online,Joseph R. Biden Jr.,DEM,48.63
725,rv,IVR/Online,Donald Trump,REP,51.37
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,45.0
1001,rv,Live Phone,Joseph R. Biden Jr.,DEM,51.0
1001,rv,Live Phone,Donald Trump,REP,46.0
448,lv,IVR/Live Phone,Joseph R. Biden Jr.,DEM,52.0
448,lv,IVR/Live Phone,Donald Trump,REP,41.0
27754,rv,Online,Joseph R. Biden Jr.,DEM,45.0
27754,rv,Online,Donald Trump,REP,42.0
1384,lv,Online,Joseph R. Biden Jr.,DEM,47.0
1384,lv,Online,Donald Trump,REP,40.0
800,rv,IVR/Online,Joseph R. Biden Jr.,DEM,65.17
800,rv,IVR/Online,Donald Trump,REP,34.83
1200,rv,IVR/Online,Joseph R. Biden Jr.,DEM,44.0
1200,rv,IVR/Online,Donald Trump,REP,38.0
1111,rv,IVR/Online,Joseph R. Biden Jr.,DEM,43.2
1111,rv,IVR/Online,Donald Trump,REP,46.1
12000,lv,Online,Joseph R. Biden Jr.,DEM,48.0
12000,lv,Online,Donald Trump,REP,44.0
849,a,Online,Joseph R. Biden Jr.,DEM,40.7
849,a,Online,Donald Trump,REP,36.2
726,lv,Online,Joseph R. Biden Jr.,DEM,50.0
726,lv,Online,Donald Trump,REP,44.5
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,51.5
600,lv,Live Phone,Donald Trump,REP,42.17
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
500,lv,Live Phone,Joseph R. Biden Jr.,DEM,47.0
500,lv,Live Phone,Donald Trump,REP,46.0
811,rv,Live Phone,Joseph R. Biden Jr.,DEM,46.0
811,rv,Live Phone,Donald Trump,REP,43.0
650,lv,Live Phone,Joseph R. Biden Jr.,DEM,49.0
650,lv,Live Phone,Donald Trump,REP,45.0
957,rv,Online,Joseph R. Biden Jr.,DEM,41.0
957,rv,Online,Donald Trump,REP,41.0
740,rv,IVR/Online,Joseph R. Biden Jr.,DEM,66.87
740,rv,IVR/Online,Donald Trump,REP,33.13
12000,lv,Online,Joseph R. Biden Jr.,DEM,49.0
12000,lv,Online,Donald Trump,REP,44.0
866,a,Online,Joseph R. Biden Jr.,DEM,50.16
866,a,Online,Donald Trump,REP,42.24
783,rv,Online,Joseph R. Biden Jr.,DEM,50.55
783,rv,Online,Donald Trump,REP,44.3
1015,rv,Online,Joseph R. Biden Jr.,DEM,43.0
1015,rv,Online,Donald Trump,REP,41.0
1215,a,Online,Joseph R. Biden Jr.,DEM,39.0
1215,a,Online,Donald Trump,REP,38.0
1224,rv,Online,Joseph R. Biden Jr.,DEM,45.0
1224,rv,Online,Donald Trump,REP,42.0
1209,rv,Online,Joseph R. Biden Jr.,DEM,46.0
1209,rv,Online,Donald Trump,REP,42.0
1546,a,Online,Joseph R. Biden Jr.,DEM,47.0
1546,a,Online,Donald Trump,REP,44.0
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,51.83
600,lv,Live Phone,Donald Trump,REP,42.17
880,a,Online,Joseph R. Biden Jr.,DEM,40.4
880,a,Online,Donald Trump,REP,35.4
758,lv,Online,Joseph R. Biden Jr.,DEM,51.3
758,lv,Online,Donald Trump,REP,44.5
1362,rv,Online,Joseph R. Biden Jr.,DEM,49.0
1362,rv,Online,Donald Trump,REP,46.0
739,rv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
739,rv,Live Phone,Donald Trump,REP,41.0
739,rv,Live Phone,Joseph R. Biden Jr.,DEM,47.0
739,rv,Live Phone,Donald Trump,REP,40.0
739,rv,Live Phone,Justin Amash,LIB,5.0
915,rv,Live Phone,Joseph R. Biden Jr.,DEM,55.0
915,rv,Live Phone,Donald Trump,REP,32.0
941,rv,Live Phone,Joseph R. Biden Jr.,DEM,54.0
941,rv,Live Phone,Donald Trump,REP,35.0
945,rv,Live Phone,Joseph R. Biden Jr.,DEM,56.0
945,rv,Live Phone,Donald Trump,REP,33.0
1991,rv,Online,Joseph R. Biden Jr.,DEM,45.0
1991,rv,Online,Donald Trump,REP,41.0
1489,lv,Online,Joseph R. Biden Jr.,DEM,47.0
1489,lv,Online,Donald Trump,REP,44.0
600,lv,Online,Joseph R. Biden Jr.,DEM,55.0
600,lv,Online,Donald Trump,REP,36.0
31117,rv,Online,Joseph R. Biden Jr.,DEM,46.0
31117,rv,Online,Donald Trump,REP,42.0
1200,rv,IVR/Online,Joseph R. Biden Jr.,DEM,46.0
1200,rv,IVR/Online,Donald Trump,REP,39.0
885,a,Online,Joseph R. Biden Jr.,DEM,39.1
885,a,Online,Donald Trump,REP,35.4
765,lv,Online,Joseph R. Biden Jr.,DEM,49.5
765,lv,Online,Donald Trump,REP,45.3
1502,a,Live Phone,Joseph R. Biden Jr.,DEM,55.0
1502,a,Live Phone,Donald Trump,REP,32.0
1364,rv,Live Phone,Joseph R. Biden Jr.,DEM,56.0
1364,rv,Live Phone,Donald Trump,REP,33.0
1222,v,IVR/Text,Joseph R. Biden Jr.,DEM,46.0
1222,v,IVR/Text,Donald Trump,REP,48.0
1671,lv,Online,Joseph R. Biden Jr.,DEM,49.0
1671,lv,Online,Donald Trump,REP,43.0
1000,rv,Online,Joseph R. Biden Jr.,DEM,58.0
1000,rv,Online,Donald Trump,REP,30.0
536,lv,Live Phone,Joseph R. Biden Jr.,DEM,36.0
536,lv,Live Phone,Donald Trump,REP,53.0
763,lv,,Joseph R. Biden Jr.,DEM,49.0
763,lv,,Donald Trump,REP,45.0
19505,lv,Online,Joseph R. Biden Jr.,DEM,44.0
19505,lv,Online,Donald Trump,REP,40.0
1270,v,IVR/Text,Joseph R. Biden Jr.,DEM,50.0
1270,v,IVR/Text,Donald Trump,REP,42.0
2216,a,Online,Joseph R. Biden Jr.,DEM,42.0
2216,a,Online,Donald Trump,REP,36.0
1876,rv,Online,Joseph R. Biden Jr.,DEM,45.0
1876,rv,Online,Donald Trump,REP,39.0
948,rv,Online,Joseph R. Biden Jr.,DEM,43.0
948,rv,Online,Donald Trump,REP,43.0
1001,a,Online,Joseph R. Biden Jr.,DEM,51.88
1001,a,Online,Donald Trump,REP,41.98
885,rv,Online,Joseph R. Biden Jr.,DEM,52.36
885,rv,Online,Donald Trump,REP,43.4
1032,v,IVR/Text,Joseph R. Biden Jr.,DEM,47.0
1032,v,IVR/Text,Donald Trump,REP,46.0
604,rv,Online,Joseph R. Biden Jr.,DEM,47.4
604,rv,Online,Donald Trump,REP,40.4
1200,rv,IVR/Online,Joseph R. Biden Jr.,DEM,53.65
1200,rv,IVR/Online,Donald Trump,REP,46.35
1222,rv,Online,Joseph R. Biden Jr.,DEM,47.0
1222,rv,Online,Donald Trump,REP,41.0
899,a,Online,Joseph R. Biden Jr.,DEM,40.4
899,a,Online,Donald Trump,REP,37.2
766,lv,Online,Joseph R. Biden Jr.,DEM,49.2
766,lv,Online,Donald Trump,REP,45.3
591,lv,Live Phone/Online/Text,Joseph R. Biden Jr.,DEM,44.0
591,lv,Live Phone/Online/Text,Donald Trump,REP,45.1
820,rv,Online,Joseph R. Biden Jr.,DEM,50.0
820,rv,Online,Donald Trump,REP,42.0
1183,rv,Live Phone/Online,Joseph R. Biden Jr.,DEM,43.0
1183,rv,Live Phone/Online,Donald Trump,REP,43.0
459,lv,Online,Joseph R. Biden Jr.,DEM,39.65
459,lv,Online,Donald Trump,REP,45.32
580,lv,Online,Joseph R. Biden Jr.,DEM,50.0
580,lv,Online,Donald Trump,REP,45.0
644,lv,Online,Joseph R. Biden Jr.,DEM,49.0
644,lv,Online,Donald Trump,REP,43.0
30560,rv,Online,Joseph R. Biden Jr.,DEM,46.0
30560,rv,Online,Donald Trump,REP,42.0
1200,rv,IVR/Online,Joseph R. Biden Jr.,DEM,46.0
1200,rv,IVR/Online,Donald Trump,REP,38.0
1000,rv,Live Phone,Joseph R. Biden Jr.,DEM,44.0
1000,rv,Live Phone,Donald Trump,REP,38.0
1000,rv,Live Phone,Joseph R. Biden Jr.,DEM,50.4
1000,rv,Live Phone,Donald Trump,REP,40.4
797,rv,Online,Joseph R. Biden Jr.,DEM,44.9
797,rv,Online,Donald Trump,REP,44.2
924,a,Online,Joseph R. Biden Jr.,DEM,43.6
924,a,Online,Donald Trump,REP,35.6
784,lv,Online,Joseph R. Biden Jr.,DEM,52.2
784,lv,Online,Donald Trump,REP,44.2
803,rv,Live Phone/Online,Joseph R. Biden Jr.,DEM,65.0
803,rv,Live Phone/Online,Donald Trump,REP,29.0
1500,lv,Online,Joseph R. Biden Jr.,DEM,49.0
1500,lv,Online,Donald Trump,REP,40.0
952,a,Online,Joseph R. Biden Jr.,DEM,50.68
952,a,Online,Donald Trump,REP,43.57
850,rv,Online,Joseph R. Biden Jr.,DEM,49.14
850,rv,Online,Donald Trump,REP,44.91
1275,v,IVR/Text,Joseph R. Biden Jr.,DEM,49.0
1275,v,IVR/Text,Donald Trump,REP,46.0
1277,v,IVR/Text,Joseph R. Biden Jr.,DEM,51.0
1277,v,IVR/Text,Donald Trump,REP,44.0
1251,v,IVR/Text,Joseph R. Biden Jr.,DEM,51.0
1251,v,IVR/Text,Donald Trump,REP,44.0
1415,v,IVR/Text,Joseph R. Biden Jr.,DEM,50.0
1415,v,IVR/Text,Donald Trump,REP,45.0
1009,v,IVR/Text,Joseph R. Biden Jr.,DEM,52.0
1009,v,IVR/Text,Donald Trump,REP,40.0
1144,rv,Online,Joseph R. Biden Jr.,DEM,48.0
1144,rv,Online,Donald Trump,REP,42.0
801,rv,Live Phone,Joseph R. Biden Jr.,DEM,49.0
801,rv,Live Phone,Donald Trump,REP,41.0
803,rv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
803,rv,Live Phone,Donald Trump,REP,42.0
1000,lv,Online,Joseph R. Biden Jr.,DEM,52.0
1000,lv,Online,Donald Trump,REP,43.0
1004,rv,Live Phone,Joseph R. Biden Jr.,DEM,46.0
1004,rv,Live Phone,Donald Trump,REP,43.0
3806,rv,Online,Joseph R. Biden Jr.,DEM,47.0
3806,rv,Online,Donald Trump,REP,39.0
4429,a,Online,Joseph R. Biden Jr.,DEM,43.0
4429,a,Online,Donald Trump,REP,36.0
964,rv,IVR/Online,Joseph R. Biden Jr.,DEM,32.0
964,rv,IVR/Online,Donald Trump,REP,51.0
964,a,Online,Joseph R. Biden Jr.,DEM,43.3
964,a,Online,Donald Trump,REP,35.0
829,lv,Online,Joseph R. Biden Jr.,DEM,52.7
829,lv,Online,Donald Trump,REP,44.3
958,rv,Online,Joseph R. Biden Jr.,DEM,42.0
958,rv,Online,Donald Trump,REP,40.0
1385,rv,Live Phone,Joseph R. Biden Jr.,DEM,46.0
1385,rv,Live Phone,Donald Trump,REP,42.0
862,rv,Live Phone/Online,Joseph R. Biden Jr.,DEM,56.0
862,rv,Live Phone/Online,Donald Trump,REP,42.0
612,rv,Online,Joseph R. Biden Jr.,DEM,46.0
612,rv,Online,Donald Trump,REP,38.0
642,a,Online,Joseph R. Biden Jr.,DEM,45.0
642,a,Online,Donald Trump,REP,36.0
578,rv,Online,Joseph R. Biden Jr.,DEM,46.0
578,rv,Online,Donald Trump,REP,40.0
654,a,Online,Joseph R. Biden Jr.,DEM,42.0
654,a,Online,Donald Trump,REP,37.0
645,rv,Online,Joseph R. Biden Jr.,DEM,43.0
645,rv,Online,Donald Trump,REP,40.0
711,a,Online,Joseph R. Biden Jr.,DEM,39.0
711,a,Online,Donald Trump,REP,37.0
693,lv,Live Phone/Online,Joseph R. Biden Jr.,DEM,48.0
693,lv,Live Phone/Online,Donald Trump,REP,42.0
1917,rv,Online,Joseph R. Biden Jr.,DEM,49.0
1917,rv,Online,Donald Trump,REP,40.0
635,rv,Live Phone,Joseph R. Biden Jr.,DEM,54.0
635,rv,Live Phone,Donald Trump,REP,38.0
31482,rv,Online,Joseph R. Biden Jr.,DEM,47.0
31482,rv,Online,Donald Trump,REP,42.0
1200,rv,Online,Joseph R. Biden Jr.,DEM,44.0
1200,rv,Online,Donald Trump,REP,49.0
380,lv,Online,Joseph R. Biden Jr.,DEM,53.16
380,lv,Online,Donald Trump,REP,35.0
1178,lv,Online,Joseph R. Biden Jr.,DEM,48.0
1178,lv,Online,Donald Trump,REP,44.0
1200,rv,IVR/Online,Joseph R. Biden Jr.,DEM,49.0
1200,rv,IVR/Online,Donald Trump,REP,40.0
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,47.5
600,lv,Live Phone,Donald Trump,REP,47.5
800,lv,,Joseph R. Biden Jr.,DEM,48.0
800,lv,,Donald Trump,REP,45.0
870,a,Online,Joseph R. Biden Jr.,DEM,42.8
870,a,Online,Donald Trump,REP,35.0
745,lv,Online,Joseph R. Biden Jr.,DEM,52.2
745,lv,Online,Donald Trump,REP,44.3
5659,rv,IVR,Joseph R. Biden Jr.,DEM,48.3
5659,rv,IVR,Donald Trump,REP,47.5
1992,rv,Online,Joseph R. Biden Jr.,DEM,47.0
1992,rv,Online,Donald Trump,REP,43.0
1992,rv,Online,Joseph R. Biden Jr.,DEM,46.0
1992,rv,Online,Donald Trump,REP,42.0
1992,rv,Online,Justin Amash,LIB,1.0
2394,rv,Online,Joseph R. Biden Jr.,DEM,54.0
2394,rv,Online,Donald Trump,REP,46.0
2190,lv,Online,Joseph R. Biden Jr.,DEM,53.0
2190,lv,Online,Donald Trump,REP,47.0
500,lv,Live Phone,Joseph R. Biden Jr.,DEM,47.0
500,lv,Live Phone,Donald Trump,REP,46.0
500,lv,Live Phone,Joseph R. Biden Jr.,DEM,45.0
500,lv,Live Phone,Donald Trump,REP,48.0
500,lv,Live Phone,Joseph R. Biden Jr.,DEM,48.0
500,lv,Live Phone,Donald Trump,REP,46.0
1318,v,IVR/Text,Joseph R. Biden Jr.,DEM,48.0
1318,v,IVR/Text,Donald Trump,REP,47.0
1349,lv,Online,Joseph R. Biden Jr.,DEM,50.0
1349,lv,Online,Donald Trump,REP,40.0
900,rv,Live Phone,Joseph R. Biden Jr.,DEM,49.0
900,rv,Live Phone,Donald Trump,REP,42.0
600,lv,Live Phone,Joseph R. Biden Jr.,DEM,50.0
600,lv,Live Phone,Donald Trump,REP,45.83
5036,rv,Online,Joseph R. Biden Jr.,DEM,48.0
5036,rv,Online,Donald Trump,REP,43.0
889,a,Online,Joseph R. Biden Jr.,DEM,49.27
889,a,Online,Donald Trump,REP,45.96
788,rv,Online,Joseph R. Biden Jr.,DEM,50.03
788,rv,Online,Donald Trump,REP,46.21
937,rv,Online,Joseph R. Biden Jr.,DEM,45.0
937,rv,Online,Donald Trump,REP,40.0
1111,a,Online,Joseph R. Biden Jr.,DEM,42.0
1111,a,Online,Donald Trump,REP,38.0
1166,rv,Online,Joseph R. Biden Jr.,DEM,48.0
1166,rv,Online,Donald Trump,REP,43.0
1600,a,Online,Joseph R. Biden Jr.,DEM,48.0
1600,a,Online,Donald Trump,REP,44.0
857,a,Online,Joseph R. Biden Jr.,DEM,45.5
857,a,Online,Donald Trump,REP,31.7
732,lv,Online,Joseph R. Biden Jr.,DEM,53.9
732,lv,Online,Donald Trump,REP,42.1
