sample_size,population_full,methodology,end_date,Approve,Disapprove
1000,a,Online,8/9/2019,41.0,51.0
742,rv,Online,8/9/2019,42.0,54.0
2200,a,Online,8/9/2019,41.0,54.0
3000,rv,Online,8/9/2019,46.0,54.0
7002,rv,Online,8/9/2019,47.0,53.0
1000,a,Online,8/8/2019,42.0,52.0
736,rv,Online,8/8/2019,45.0,53.0
1500,lv,IVR/Online,8/8/2019,47.0,52.0
3001,rv,Online,8/8/2019,47.0,53.0
1000,a,Online,8/7/2019,42.0,52.0
710,rv,Online,8/7/2019,45.0,54.0
1960,rv,Online,8/7/2019,41.0,55.0
1500,lv,IVR/Online,8/7/2019,47.0,51.0
3001,rv,Online,8/7/2019,46.0,54.0
1000,a,Online,8/6/2019,40.0,53.0
813,rv,Online,8/6/2019,45.0,53.0
1001,rv,Online,8/6/2019,45.0,55.0
1500,lv,IVR/Online,8/6/2019,47.0,51.0
3002,rv,Online,8/6/2019,47.0,53.0
1500,a,Online,8/6/2019,41.0,49.0
1161,rv,Online,8/6/2019,44.0,52.0
1000,a,Online,8/5/2019,41.0,54.0
766,rv,Online,8/5/2019,44.0,55.0
3001,rv,Online,8/5/2019,47.0,53.0
1500,lv,IVR/Online,8/5/2019,49.0,49.0
2129,a,Online,8/5/2019,41.0,54.0
1795,rv,Online,8/5/2019,43.0,54.0
2293,a,Live Phone/Online,8/5/2019,37.0,63.0
1000,a,Online,8/4/2019,41.0,52.0
718,rv,Online,8/4/2019,44.0,54.0
3000,rv,Online,8/4/2019,47.0,53.0
1500,lv,IVR/Online,8/4/2019,48.0,50.0
4175,a,Online,8/4/2019,40.0,59.0
1000,a,Online,8/3/2019,44.0,50.0
735,rv,Online,8/3/2019,46.0,51.0
1996,rv,Online,8/3/2019,45.0,52.0
2200,a,Online,8/3/2019,43.0,52.0
2200,a,Online,8/3/2019,43.0,52.0
2200,a,Online,8/3/2019,39.0,56.0
3000,rv,Online,8/3/2019,46.0,54.0
1000,a,Online,8/2/2019,41.0,53.0
763,rv,Online,8/2/2019,43.0,55.0
3000,rv,Online,8/2/2019,46.0,54.0
7004,rv,Online,8/2/2019,46.0,54.0
1000,a,Online,8/1/2019,43.0,52.0
742,rv,Online,8/1/2019,44.0,54.0
2214,rv,Online,8/1/2019,45.0,55.0
1500,lv,IVR/Online,8/1/2019,48.0,50.0
3000,rv,Online,8/1/2019,47.0,53.0
902,a,Live Phone,8/1/2019,40.0,56.0
1000,a,Online,7/31/2019,40.0,53.0
755,rv,Online,7/31/2019,43.0,55.0
1500,lv,IVR/Online,7/31/2019,48.0,51.0
3003,rv,Online,7/31/2019,47.0,53.0
6599,a,Online,7/31/2019,40.0,55.0
3038,a,Live Phone,7/31/2019,42.0,54.0
1115,a,Online,7/30/2019,39.0,57.0
972,rv,Online,7/30/2019,40.0,58.0
1000,a,Online,7/30/2019,46.0,48.0
744,rv,Online,7/30/2019,46.0,51.0
1500,lv,IVR/Online,7/30/2019,47.0,52.0
3003,rv,Online,7/30/2019,47.0,53.0
1500,a,Online,7/30/2019,41.0,52.0
1101,rv,Online,7/30/2019,43.0,55.0
1009,rv,Online,7/30/2019,43.0,55.0
1000,a,Online,7/29/2019,44.0,52.0
813,rv,Online,7/29/2019,44.0,55.0
1233,rv,IVR/Online,7/29/2019,45.3,46.1
3002,rv,Online,7/29/2019,47.0,53.0
1500,lv,IVR/Online,7/29/2019,47.0,51.0
1000,a,Online,7/28/2019,42.0,53.0
730,rv,Online,7/28/2019,44.0,54.0
1000,rv,Live Phone,7/28/2019,44.0,50.0
1306,rv,Live Phone,7/28/2019,40.0,54.0
3000,rv,Online,7/28/2019,46.0,54.0
1500,lv,IVR/Online,7/28/2019,47.0,52.0
1000,lv,Online,7/28/2019,46.0,53.0
1700,rv,Live Phone,7/28/2019,42.0,54.0
1000,a,Online,7/27/2019,43.0,51.0
715,rv,Online,7/27/2019,44.0,54.0
1994,rv,Online,7/27/2019,43.0,53.0
2201,a,Online,7/27/2019,42.0,52.0
3000,rv,Online,7/27/2019,46.0,54.0
1000,a,Online,7/26/2019,40.0,53.0
734,rv,Online,7/26/2019,44.0,54.0
3001,rv,Online,7/26/2019,46.0,54.0
7016,rv,Online,7/26/2019,46.0,54.0
1992,rv,Online,7/25/2019,41.0,57.0
2202,a,Online,7/25/2019,40.0,57.0
1000,a,Online,7/25/2019,41.0,54.0
763,rv,Online,7/25/2019,43.0,55.0
1500,lv,IVR/Online,7/25/2019,47.0,51.0
3012,rv,Online,7/25/2019,45.0,55.0
1000,a,Online,7/24/2019,41.0,52.0
747,rv,Online,7/24/2019,44.0,54.0
1500,lv,IVR/Online,7/24/2019,48.0,51.0
3012,rv,Online,7/24/2019,46.0,54.0
1000,a,Online,7/23/2019,43.0,49.0
770,rv,Online,7/23/2019,44.0,53.0
1118,a,Online,7/23/2019,41.0,56.0
963,rv,Online,7/23/2019,42.0,57.0
1500,a,Online,7/23/2019,41.0,51.0
1212,rv,Online,7/23/2019,45.0,52.0
1500,lv,IVR/Online,7/23/2019,48.0,50.0
1004,rv,Live Phone,7/23/2019,46.0,51.0
3015,rv,Online,7/23/2019,46.0,54.0
1196,a,Live Phone,7/23/2019,44.0,52.0
1000,a,Online,7/22/2019,41.0,53.0
756,rv,Online,7/22/2019,42.0,56.0
3004,rv,Online,7/22/2019,46.0,54.0
1500,lv,IVR/Online,7/22/2019,50.0,49.0
4436,a,Online,7/22/2019,43.0,54.0
3879,rv,Online,7/22/2019,44.0,54.0
1000,a,Online,7/21/2019,43.0,51.0
711,rv,Online,7/21/2019,45.0,54.0
1003,rv,Online,7/21/2019,46.0,54.0
2200,a,Online,7/21/2019,42.0,53.0
1992,rv,Online,7/21/2019,40.0,57.0
2198,a,Online,7/21/2019,38.0,56.0
3000,rv,Online,7/21/2019,47.0,53.0
1500,lv,IVR/Online,7/21/2019,49.0,49.0
1000,a,Online,7/20/2019,41.0,52.0
727,rv,Online,7/20/2019,42.0,56.0
1100,a,Live Phone,7/20/2019,41.0,56.0
992,rv,Live Phone,7/20/2019,40.0,58.0
3000,rv,Online,7/20/2019,48.0,52.0
1000,a,Online,7/19/2019,42.0,52.0
769,rv,Online,7/19/2019,44.0,54.0
3000,rv,Online,7/19/2019,48.0,52.0
1000,a,Online,7/18/2019,43.0,50.0
725,rv,Online,7/18/2019,45.0,53.0
1500,lv,IVR/Online,7/18/2019,50.0,48.0
2201,a,Online,7/18/2019,42.0,53.0
2201,a,Online,7/18/2019,39.0,56.0
3003,rv,Online,7/18/2019,46.0,54.0
1000,a,Online,7/17/2019,42.0,52.0
731,rv,Online,7/17/2019,44.0,54.0
1500,lv,IVR/Online,7/17/2019,49.0,49.0
1346,a,Live Phone,7/17/2019,44.0,52.0
1175,rv,Live Phone,7/17/2019,44.0,52.0
3003,rv,Online,7/17/2019,46.0,54.0
1113,a,Online,7/16/2019,41.0,55.0
954,rv,Online,7/16/2019,44.0,54.0
1000,a,Online,7/16/2019,41.0,53.0
769,rv,Online,7/16/2019,45.0,52.0
1500,a,Online,7/16/2019,44.0,48.0
1149,rv,Online,7/16/2019,46.0,51.0
1500,lv,IVR/Online,7/16/2019,50.0,48.0
3000,rv,Online,7/16/2019,47.0,53.0
13553,rv,Online,7/16/2019,48.0,51.0
1000,a,Online,7/15/2019,43.0,50.0
770,rv,Online,7/15/2019,46.0,52.0
3003,rv,Online,7/15/2019,47.0,53.0
1500,lv,IVR/Online,7/15/2019,48.0,50.0
1000,a,Online,7/14/2019,42.0,51.0
752,rv,Online,7/14/2019,43.0,54.0
1984,rv,Online,7/14/2019,40.0,56.0
2200,a,Online,7/14/2019,38.0,56.0
3000,rv,Online,7/14/2019,47.0,53.0
1122,rv,Online,7/14/2019,43.0,56.0
1500,lv,IVR/Online,7/14/2019,46.0,52.0
1200,rv,Online,7/14/2019,42.0,57.0
1000,a,Online,7/13/2019,43.0,51.0
717,rv,Online,7/13/2019,45.0,53.0
3000,rv,Online,7/13/2019,47.0,53.0
1000,a,Online,7/12/2019,42.0,49.0
705,rv,Online,7/12/2019,44.0,51.0
2201,a,Online,7/12/2019,41.0,53.0
3002,rv,Online,7/12/2019,46.0,54.0
7009,rv,Online,7/12/2019,46.0,54.0
1525,a,Live Phone,7/12/2019,44.0,51.0
1000,a,Online,7/11/2019,45.0,49.0
761,rv,Online,7/11/2019,49.0,48.0
1500,lv,IVR/Online,7/11/2019,46.0,52.0
3003,rv,Online,7/11/2019,46.0,54.0
1000,a,Online,7/10/2019,43.0,50.0
762,rv,Online,7/10/2019,45.0,52.0
1500,lv,IVR/Online,7/10/2019,48.0,51.0
1988,rv,Online,7/10/2019,41.0,56.0
2200,a,Online,7/10/2019,38.0,56.0
3005,rv,Online,7/10/2019,45.0,55.0
1115,a,Online,7/9/2019,41.0,54.0
971,rv,Online,7/9/2019,43.0,55.0
1001,rv,Online,7/9/2019,47.0,53.0
1000,a,Online,7/9/2019,41.0,52.0
794,rv,Online,7/9/2019,45.0,53.0
1500,lv,IVR/Online,7/9/2019,49.0,50.0
1500,a,Online,7/9/2019,40.0,51.0
1140,rv,Online,7/9/2019,43.0,53.0
800,rv,Live Phone,7/9/2019,45.0,52.0
3006,rv,Online,7/9/2019,45.0,55.0
1000,a,Online,7/8/2019,43.0,51.0
759,rv,Online,7/8/2019,45.0,53.0
1100,rv,IVR/Online,7/8/2019,44.2,47.9
3006,rv,Online,7/8/2019,45.0,55.0
1500,lv,IVR/Online,7/8/2019,49.0,51.0
604,rv,,7/8/2019,42.0,52.0
1000,a,Online,7/7/2019,42.0,52.0
711,rv,Online,7/7/2019,43.0,56.0
3000,rv,Online,7/7/2019,45.0,55.0
1500,lv,IVR/Online,7/7/2019,50.0,49.0
2662,a,Online,7/7/2019,46.0,51.0
1000,a,Online,7/6/2019,43.0,51.0
734,rv,Online,7/6/2019,45.0,53.0
3000,rv,Online,7/6/2019,45.0,55.0
1000,a,Online,7/5/2019,45.0,49.0
734,rv,Online,7/5/2019,47.0,51.0
3002,rv,Online,7/5/2019,45.0,55.0
1000,a,Online,7/4/2019,42.0,50.0
735,rv,Online,7/4/2019,44.0,54.0
3000,rv,Online,7/4/2019,46.0,54.0
1000,a,Online,7/3/2019,42.0,51.0
723,rv,Online,7/3/2019,44.0,53.0
3000,rv,Online,7/3/2019,47.0,53.0
1000,a,Online,7/2/2019,44.0,49.0
750,rv,Online,7/2/2019,47.0,50.0
2200,a,Online,7/2/2019,41.0,53.0
1500,a,Online,7/2/2019,41.0,49.0
1265,rv,Online,7/2/2019,44.0,53.0
1500,lv,IVR/Online,7/2/2019,49.0,50.0
3000,rv,Online,7/2/2019,46.0,54.0
2221,a,Online,7/2/2019,41.0,55.0
1973,rv,Online,7/2/2019,43.0,55.0
1000,a,Online,7/1/2019,42.0,51.0
746,rv,Online,7/1/2019,43.0,55.0
1860,a,Online,7/1/2019,37.0,57.0
1604,rv,Online,7/1/2019,42.0,53.0
1472,rv,Online,7/1/2019,43.0,53.0
2200,a,Online,7/1/2019,41.0,54.0
3002,rv,Online,7/1/2019,46.0,54.0
1008,a,Live Phone,7/1/2019,44.0,53.0
875,rv,Live Phone,7/1/2019,47.0,50.0
1500,lv,IVR/Online,7/1/2019,48.0,51.0
1000,a,Online,6/30/2019,40.0,53.0
709,rv,Online,6/30/2019,44.0,53.0
1000,rv,Live Phone,6/30/2019,42.0,51.0
1613,a,Live Phone,6/30/2019,43.0,52.0
1466,rv,Live Phone,6/30/2019,45.0,51.0
3000,rv,Online,6/30/2019,45.0,55.0
1500,lv,IVR/Online,6/30/2019,47.0,51.0
1018,a,Live Phone,6/30/2019,41.0,54.0
1000,a,Online,6/29/2019,41.0,51.0
713,rv,Online,6/29/2019,44.0,54.0
3000,rv,Online,6/29/2019,45.0,55.0
2182,rv,Online,6/29/2019,44.0,56.0
1000,a,Online,6/28/2019,42.0,52.0
765,rv,Online,6/28/2019,45.0,54.0
3001,rv,Online,6/28/2019,44.0,56.0
7008,rv,Online,6/28/2019,45.0,55.0
1000,a,Online,6/27/2019,44.0,48.0
783,rv,Online,6/27/2019,45.0,52.0
1500,lv,IVR/Online,6/27/2019,49.0,50.0
3003,rv,Online,6/27/2019,46.0,54.0
900,a,Live Phone,6/27/2019,43.0,49.0
1000,a,Online,6/26/2019,40.0,53.0
789,rv,Online,6/26/2019,44.0,54.0
1000,rv,Online,6/26/2019,45.0,55.0
1500,lv,IVR/Online,6/26/2019,50.0,48.0
3003,rv,Online,6/26/2019,45.0,55.0
1115,a,Online,6/25/2019,41.0,55.0
975,rv,Online,6/25/2019,41.0,56.0
1000,a,Online,6/25/2019,43.0,50.0
743,rv,Online,6/25/2019,47.0,51.0
1500,lv,IVR/Online,6/25/2019,48.0,50.0
3004,rv,Online,6/25/2019,47.0,53.0
1500,a,Online,6/25/2019,42.0,48.0
1111,rv,Online,6/25/2019,44.0,51.0
1000,a,Online,6/24/2019,43.0,51.0
767,rv,Online,6/24/2019,45.0,53.0
3005,rv,Online,6/24/2019,46.0,54.0
1991,rv,Online,6/24/2019,43.0,54.0
1096,rv,IVR/Online,6/24/2019,42.7,48.3
1500,lv,IVR/Online,6/24/2019,47.0,51.0
1000,lv,Online,6/24/2019,47.0,51.0
1000,a,Online,6/23/2019,40.0,53.0
753,rv,Online,6/23/2019,42.0,56.0
3000,rv,Online,6/23/2019,46.0,54.0
2200,a,Online,6/23/2019,42.0,52.0
1996,rv,Online,6/23/2019,41.0,55.0
1500,lv,IVR/Online,6/23/2019,48.0,50.0
1000,a,Online,6/22/2019,42.0,50.0
747,rv,Online,6/22/2019,43.0,54.0
2200,a,Online,6/22/2019,39.0,55.0
3000,rv,Online,6/22/2019,45.0,55.0
1000,a,Online,6/21/2019,42.0,51.0
730,rv,Online,6/21/2019,45.0,53.0
3001,rv,Online,6/21/2019,46.0,54.0
7007,rv,Online,6/21/2019,45.0,55.0
1000,a,Online,6/20/2019,43.0,48.0
785,rv,Online,6/20/2019,45.0,52.0
1500,lv,IVR/Online,6/20/2019,49.0,49.0
3003,rv,Online,6/20/2019,45.0,55.0
1100,a,Live Phone,6/20/2019,42.0,55.0
991,rv,Live Phone,6/20/2019,41.0,56.0
1000,a,Online,6/19/2019,45.0,50.0
712,rv,Online,6/19/2019,48.0,51.0
1500,lv,IVR/Online,6/19/2019,50.0,48.0
1000,rv,Live Phone,6/19/2019,41.0,51.0
3004,rv,Online,6/19/2019,45.0,55.0
1027,a,Online,6/18/2019,41.0,57.0
892,rv,Online,6/18/2019,42.0,57.0
1000,a,Online,6/18/2019,43.0,49.0
735,rv,Online,6/18/2019,44.0,52.0
1500,a,Online,6/18/2019,43.0,49.0
1202,rv,Online,6/18/2019,45.0,51.0
1500,lv,IVR/Online,6/18/2019,47.0,50.0
3006,rv,Online,6/18/2019,45.0,55.0
1000,a,Online,6/17/2019,42.0,51.0
729,rv,Online,6/17/2019,45.0,53.0
3004,rv,Online,6/17/2019,44.0,56.0
1000,a,Online,6/17/2019,42.0,51.0
720,rv,Online,6/17/2019,44.0,54.0
1500,lv,IVR/Online,6/17/2019,48.0,51.0
2200,a,Online,6/17/2019,40.0,55.0
2200,a,Online,6/17/2019,40.0,55.0
1116,a,Live Phone/Online,6/17/2019,38.0,60.0
751,a,Live Phone,6/17/2019,41.0,50.0
660,rv,Live Phone,6/17/2019,42.0,51.0
1000,a,Online,6/16/2019,41.0,51.0
727,rv,Online,6/16/2019,44.0,52.0
1992,rv,Online,6/16/2019,41.0,54.0
3000,rv,Online,6/16/2019,44.0,56.0
1500,lv,IVR/Online,6/16/2019,48.0,50.0
1015,a,Live Phone,6/16/2019,43.0,55.0
3000,rv,Online,6/15/2019,45.0,55.0
1000,rv,Live Phone,6/15/2019,48.7,48.1
1000,a,Online,6/14/2019,43.0,51.0
756,rv,Online,6/14/2019,46.0,51.0
1000,a,Online,6/14/2019,43.0,50.0
725,rv,Online,6/14/2019,45.0,52.0
3004,rv,Online,6/14/2019,46.0,54.0
7012,rv,Online,6/14/2019,45.0,55.0
1500,lv,IVR/Online,6/13/2019,51.0,47.0
3004,rv,Online,6/13/2019,45.0,55.0
1000,a,Online,6/12/2019,45.0,47.0
741,rv,Online,6/12/2019,47.0,49.0
1500,lv,IVR/Online,6/12/2019,50.0,47.0
3006,rv,Online,6/12/2019,44.0,56.0
1001,rv,Live Phone,6/12/2019,45.0,53.0
1559,rv,Online,6/12/2019,44.0,53.0
1119,a,Online,6/11/2019,40.0,57.0
983,rv,Online,6/11/2019,41.0,58.0
1000,a,Online,6/11/2019,44.0,51.0
754,rv,Online,6/11/2019,45.0,53.0
1500,a,Online,6/11/2019,42.0,49.0
1107,rv,Online,6/11/2019,45.0,52.0
1500,lv,IVR/Online,6/11/2019,51.0,47.0
3007,rv,Online,6/11/2019,44.0,56.0
1000,a,Live Phone,6/11/2019,44.0,53.0
1000,a,Online,6/10/2019,42.0,52.0
734,rv,Online,6/10/2019,46.0,52.0
3007,rv,Online,6/10/2019,45.0,55.0
1500,lv,IVR/Online,6/10/2019,49.0,49.0
1214,rv,Live Phone,6/10/2019,42.0,53.0
2200,a,Online,6/10/2019,40.0,55.0
1000,a,Online,6/9/2019,42.0,50.0
717,rv,Online,6/9/2019,44.0,53.0
1991,rv,Online,6/9/2019,41.0,56.0
3000,rv,Online,6/9/2019,46.0,54.0
2201,a,Online,6/9/2019,40.0,54.0
2200,a,Online,6/9/2019,40.0,54.0
1500,lv,IVR/Online,6/9/2019,50.0,48.0
2579,a,Online,6/9/2019,45.0,53.0
1000,a,Online,6/8/2019,44.0,50.0
737,rv,Online,6/8/2019,47.0,51.0
1001,rv,Online,6/8/2019,45.0,55.0
3000,rv,Online,6/8/2019,45.0,55.0
1000,a,Online,6/7/2019,43.0,50.0
733,rv,Online,6/7/2019,45.0,53.0
3001,rv,Online,6/7/2019,46.0,54.0
7004,rv,Online,6/7/2019,46.0,54.0
906,a,Live Phone,6/7/2019,42.0,52.0
1000,a,Online,6/6/2019,43.0,49.0
747,rv,Online,6/6/2019,44.0,53.0
1500,lv,IVR/Online,6/6/2019,48.0,50.0
3003,rv,Online,6/6/2019,45.0,55.0
1200,lv,Live Phone,6/6/2019,48.6,49.5
1000,a,Online,6/5/2019,42.0,52.0
745,rv,Online,6/5/2019,43.0,55.0
1500,lv,IVR/Online,6/5/2019,50.0,49.0
3003,rv,Online,6/5/2019,45.0,55.0
4416,a,Online,6/5/2019,39.0,57.0
3851,rv,Online,6/5/2019,40.0,57.0
1000,a,Online,6/4/2019,44.0,48.0
750,rv,Online,6/4/2019,45.0,52.0
1500,a,Online,6/4/2019,42.0,50.0
1195,rv,Online,6/4/2019,45.0,53.0
1500,lv,IVR/Online,6/4/2019,49.0,50.0
1000,a,Online,6/4/2019,43.0,49.0
717,rv,Online,6/4/2019,46.0,50.0
3003,rv,Online,6/4/2019,46.0,54.0
944,a,Live Phone,6/4/2019,41.0,49.0
783,rv,Live Phone,6/4/2019,43.0,49.0
1206,a,Live Phone,6/4/2019,43.0,55.0
3001,rv,Online,6/3/2019,46.0,54.0
1113,rv,Online,6/3/2019,41.0,56.0
1500,lv,IVR/Online,6/3/2019,49.0,50.0
1057,rv,Online,6/3/2019,44.0,54.0
1000,a,Online,6/2/2019,41.0,51.0
728,rv,Online,6/2/2019,44.0,53.0
2201,a,Online,6/2/2019,40.0,53.0
1997,rv,Online,6/2/2019,43.0,54.0
2200,a,Online,6/2/2019,42.0,53.0
3000,rv,Online,6/2/2019,46.0,54.0
1500,lv,IVR/Online,6/2/2019,47.0,52.0
1000,a,Online,6/1/2019,43.0,49.0
740,rv,Online,6/1/2019,46.0,50.0
1000,rv,Live Phone,6/1/2019,40.0,54.0
3000,rv,Online,6/1/2019,46.0,54.0
1000,a,Online,5/31/2019,42.0,54.0
734,rv,Online,5/31/2019,44.0,54.0
3007,rv,Online,5/31/2019,46.0,54.0
1006,a,Live Phone,5/31/2019,43.0,52.0
902,rv,Live Phone,5/31/2019,43.0,53.0
7012,rv,Online,5/31/2019,46.0,54.0
1295,rv,Online,5/30/2019,48.0,52.0
1000,a,Online,5/30/2019,40.0,52.0
771,rv,Online,5/30/2019,44.0,54.0
1500,lv,IVR/Online,5/30/2019,48.0,51.0
2200,a,Online,5/30/2019,41.0,54.0
3004,rv,Online,5/30/2019,46.0,54.0
1017,a,Live Phone,5/30/2019,40.0,55.0
1117,a,Online,5/29/2019,41.0,57.0
984,rv,Online,5/29/2019,42.0,56.0
1000,a,Online,5/29/2019,43.0,51.0
796,rv,Online,5/29/2019,44.0,52.0
1500,lv,IVR/Online,5/29/2019,48.0,52.0
3007,rv,Online,5/29/2019,46.0,54.0
1000,a,Online,5/28/2019,42.0,51.0
771,rv,Online,5/28/2019,43.0,55.0
1500,a,Online,5/28/2019,42.0,49.0
1120,rv,Online,5/28/2019,44.0,52.0
1500,lv,IVR/Online,5/28/2019,47.0,52.0
1000,a,Online,5/28/2019,42.0,51.0
713,rv,Online,5/28/2019,44.0,54.0
3004,rv,Online,5/28/2019,46.0,54.0
2201,a,Online,5/27/2019,40.0,54.0
1500,lv,IVR/Online,5/27/2019,46.0,53.0
1000,a,Online,5/26/2019,42.0,51.0
728,rv,Online,5/26/2019,44.0,53.0
1000,a,Online,5/26/2019,42.0,51.0
713,rv,Online,5/26/2019,44.0,54.0
3000,rv,Online,5/26/2019,45.0,55.0
1500,lv,IVR/Online,5/26/2019,46.0,53.0
800,a,Live Phone,5/26/2019,40.0,50.0
1001,rv,Online,5/25/2019,44.0,56.0
1995,rv,Online,5/25/2019,39.0,57.0
3000,rv,Online,5/25/2019,45.0,55.0
1000,a,Online,5/24/2019,42.0,53.0
757,rv,Online,5/24/2019,42.0,54.0
3001,rv,Online,5/24/2019,46.0,54.0
7036,rv,Online,5/24/2019,46.0,54.0
1000,a,Online,5/23/2019,42.0,51.0
744,rv,Online,5/23/2019,44.0,55.0
1019,lv,Online,5/23/2019,39.1,52.7
1500,lv,IVR/Online,5/23/2019,46.0,52.0
3001,rv,Online,5/23/2019,48.0,52.0
1000,a,Online,5/22/2019,40.0,53.0
741,rv,Online,5/22/2019,44.0,56.0
2201,a,Online,5/22/2019,42.0,53.0
1500,lv,IVR/Online,5/22/2019,47.0,52.0
3003,rv,Online,5/22/2019,48.0,52.0
1000,a,Online,5/21/2019,40.0,54.0
750,rv,Online,5/21/2019,42.0,56.0
1500,lv,IVR/Online,5/21/2019,46.0,53.0
3005,rv,Online,5/21/2019,46.0,54.0
1500,a,Online,5/21/2019,41.0,51.0
1113,rv,Online,5/21/2019,44.0,54.0
1000,a,Online,5/20/2019,42.0,53.0
741,rv,Online,5/20/2019,45.0,54.0
1000,a,Online,5/20/2019,40.0,55.0
762,rv,Online,5/20/2019,43.0,55.0
3035,rv,Online,5/20/2019,45.0,55.0
1100,a,Live Phone,5/20/2019,40.0,56.0
992,rv,Live Phone,5/20/2019,40.0,56.0
1101,a,Live Phone,5/20/2019,41.0,52.0
1007,a,Online,5/20/2019,41.0,56.0
869,rv,Online,5/20/2019,44.0,55.0
1137,a,Live Phone/Online,5/20/2019,38.0,61.0
1500,lv,IVR/Online,5/20/2019,46.0,53.0
1078,rv,Live Phone,5/20/2019,38.0,57.0
802,a,Live Phone,5/20/2019,40.0,52.0
719,rv,Live Phone,5/20/2019,41.0,52.0
8801,a,Online,5/20/2019,39.0,55.0
19932,rv,Online,5/20/2019,40.0,56.0
1000,rv,Live Phone,5/19/2019,39.0,52.0
2201,a,Online,5/19/2019,37.0,58.0
1995,rv,Online,5/19/2019,42.0,56.0
3000,rv,Online,5/19/2019,44.0,56.0
1500,lv,IVR/Online,5/19/2019,44.0,54.0
1000,a,Online,5/18/2019,42.0,52.0
762,rv,Online,5/18/2019,44.0,55.0
3000,rv,Online,5/18/2019,45.0,55.0
1000,a,Online,5/17/2019,40.0,52.0
741,rv,Online,5/17/2019,42.0,56.0
3004,rv,Online,5/17/2019,46.0,54.0
7006,rv,Online,5/17/2019,46.0,54.0
1000,a,Online,5/16/2019,42.0,52.0
736,rv,Online,5/16/2019,43.0,53.0
1500,lv,IVR/Online,5/16/2019,45.0,53.0
3003,rv,Online,5/16/2019,46.0,54.0
1000,a,Online,5/15/2019,39.0,54.0
755,rv,Online,5/15/2019,42.0,55.0
1500,lv,IVR/Online,5/15/2019,45.0,53.0
3002,rv,Online,5/15/2019,46.0,54.0
1000,a,Online,5/14/2019,45.0,50.0
765,rv,Online,5/14/2019,45.0,53.0
1500,a,Online,5/14/2019,39.0,50.0
1244,rv,Online,5/14/2019,44.0,53.0
1500,lv,IVR/Online,5/14/2019,48.0,50.0
3001,rv,Online,5/14/2019,46.0,54.0
1008,rv,Live Phone,5/14/2019,46.0,53.0
2010,a,Online,5/14/2019,39.0,55.0
1707,rv,Online,5/14/2019,40.0,57.0
1000,a,Online,5/13/2019,41.0,52.0
788,rv,Online,5/13/2019,43.0,54.0
3001,rv,Online,5/13/2019,45.0,55.0
1006,rv,IVR/Online,5/13/2019,42.7,49.1
1500,lv,IVR/Online,5/13/2019,49.0,49.0
10170,a,Online,5/13/2019,40.0,59.0
1000,a,Online,5/12/2019,43.0,51.0
748,rv,Online,5/12/2019,45.0,54.0
1000,a,Online,5/12/2019,41.0,53.0
750,rv,Online,5/12/2019,41.0,56.0
2200,a,Online,5/12/2019,38.0,55.0
1995,rv,Online,5/12/2019,41.0,56.0
3000,rv,Online,5/12/2019,44.0,56.0
1500,lv,IVR/Online,5/12/2019,50.0,49.0
2574,a,Online,5/12/2019,44.0,53.0
1009,a,Live Phone,5/12/2019,42.0,52.0
1000,rv,Online,5/11/2019,44.0,56.0
2201,a,Online,5/11/2019,39.0,55.0
3000,rv,Online,5/11/2019,44.0,56.0
1000,lv,Online,5/11/2019,47.0,51.0
1000,a,Online,5/10/2019,42.0,51.0
757,rv,Online,5/10/2019,45.0,53.0
3003,rv,Online,5/10/2019,46.0,54.0
7007,rv,Online,5/10/2019,46.0,54.0
1000,a,Online,5/9/2019,41.0,52.0
759,rv,Online,5/9/2019,43.0,53.0
1500,lv,IVR/Online,5/9/2019,49.0,50.0
3005,rv,Online,5/9/2019,47.0,53.0
852,lv,Online,5/9/2019,51.0,48.0
1003,a,Online,5/9/2019,48.0,48.0
1000,a,Online,5/8/2019,40.0,52.0
742,rv,Online,5/8/2019,43.0,56.0
1500,lv,IVR/Online,5/8/2019,49.0,50.0
3004,rv,Online,5/8/2019,47.0,53.0
1000,a,Online,5/7/2019,42.0,52.0
733,rv,Online,5/7/2019,44.0,53.0
1006,a,Online,5/7/2019,39.0,55.0
1500,lv,IVR/Online,5/7/2019,49.0,49.0
1500,a,Online,5/7/2019,42.0,48.0
1168,rv,Online,5/7/2019,45.0,52.0
3002,rv,Online,5/7/2019,47.0,53.0
1000,a,Online,5/6/2019,41.0,53.0
726,rv,Online,5/6/2019,44.0,54.0
3002,rv,Online,5/6/2019,47.0,53.0
1990,rv,Online,5/6/2019,43.0,52.0
1500,lv,IVR/Online,5/6/2019,49.0,49.0
1123,rv,Online,5/6/2019,41.0,55.0
2200,a,Online,5/6/2019,43.0,51.0
1000,a,Online,5/5/2019,44.0,52.0
717,rv,Online,5/5/2019,44.0,54.0
2200,a,Online,5/5/2019,40.0,54.0
3000,rv,Online,5/5/2019,47.0,53.0
2200,a,Online,5/5/2019,40.0,54.0
1500,lv,IVR/Online,5/5/2019,50.0,48.0
2200,a,Online,5/5/2019,43.0,51.0
900,a,Live Phone,5/5/2019,43.0,50.0
1000,a,Online,5/4/2019,42.0,49.0
722,rv,Online,5/4/2019,45.0,52.0
3000,rv,Online,5/4/2019,47.0,53.0
1000,a,Online,5/3/2019,40.0,51.0
729,rv,Online,5/3/2019,42.0,56.0
3004,rv,Online,5/3/2019,47.0,53.0
